round	experiment	type	concurrent_type	workload	co_workload	cgroup	cpu_util_pct	gpu_util_pct	gpu_power_W	gpu0_util_pct	gpu0_power_W	gpu1_util_pct	gpu1_power_W	cpu_alloc_cores	gpu_alloc	gpu_alloc_cards	mem_alloc_GB	mem_used_MB	io_read_MB	io_write_MB	io_total_MB	duration_s
fixed	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	yolo.slice	101.1	38.8	58.92	38.8	58.92	0.0	12.06	2	GPU0	1	4.0	1787.1	0.0	0.0	0.0	67.9
fixed	RN_resnet18	solo	-	RN(ResNet18)	-	yolo.slice	100.0	100.0	137.08	100.0	137.08	0.0	12.18	2	GPU0	1	4.0	1279.9	0.0	0.0	0.0	68.0
fixed	GPT_gpt2	solo	-	GPT(GPT-2)	-	yolo.slice	100.0	40.7	55.24	40.7	55.24	0.0	12.05	2	GPU0	1	4.0	2198.1	0.0	0.0	0.0	68.0
fixed	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	nodejs.slice	0.0	0.0	11.95	0.0	12.18	0.0	11.95	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	68.8
fixed	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	100.9	35.4	57.59	35.4	57.59	0.0	12.20	2	GPU0	1	4.0	1774.3	0.0	0.0	0.0	69.3
fixed	A2B2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	0.0	0.0	12.20	35.4	57.59	0.0	12.20	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	69.3
fixed	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.0	137.10	99.0	137.10	0.0	12.35	2	GPU0	1	4.0	1279.3	0.0	0.0	0.0	68.5
fixed	RNB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	0.0	0.0	12.35	99.0	137.10	0.0	12.35	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	68.5
fixed	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	35.9	52.66	35.9	52.66	0.0	12.20	2	GPU0	1	4.0	2197.6	0.0	0.0	0.0	67.4
fixed	GPTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	GPT(GPT-2)	nodejs.slice	0.0	0.0	12.20	35.9	52.66	0.0	12.20	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	67.4
fixed	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	yolo.slice	100.8	38.8	59.54	38.8	59.54	99.8	159.86	2	GPU0	1	4.0	1359.5	0.0	0.0	0.0	67.8
fixed	A2RN_concurrent	concurrent	ai_ai	RN(ResNet18)	A2(YOLO_Medium)	nodejs.slice	100.0	99.8	159.86	38.8	59.54	99.8	159.86	2	GPU1	1	4.0	1085.6	0.0	0.0	0.0	67.8
fixed	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	yolo.slice	100.9	36.4	59.83	36.4	59.83	38.3	76.56	2	GPU0	1	4.0	1532.6	0.0	0.0	0.0	67.8
fixed	A2GPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	A2(YOLO_Medium)	nodejs.slice	100.1	38.3	76.56	36.4	59.83	38.3	76.56	2	GPU1	1	4.0	1885.1	0.0	0.0	0.0	67.8
fixed	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	yolo.slice	100.1	100.0	139.72	100.0	139.72	38.4	82.90	2	GPU0	1	4.0	1078.1	0.0	0.0	0.0	69.2
fixed	RNGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	RN(ResNet18)	nodejs.slice	100.0	38.4	82.90	100.0	139.72	38.4	82.90	2	GPU1	1	4.0	1869.5	0.0	0.0	0.0	69.2
