round	experiment	type	concurrent_type	workload_A	workload_B	duration_s	wall_power_W	cpu_power_W	gpu0_power_W	gpu1_power_W	gpu_total_W	gpu0_util_pct	gpu1_util_pct	memory_power_W	others_W	component_sum_W	memory_power_note	others_note	gpu_note
fixed	baseline	idle	-	-	-	38.1	57.62	3.97	11.60	11.92	23.52	0.0	0.0	6.4	23.73	33.89	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	idle: GPU0+GPU1_idle
fixed	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	67.9	130.15	14.67	58.92	12.06	70.98	38.8	0.0	6.4	38.09	92.05	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
fixed	RN_resnet18	solo	-	RN(ResNet18)	-	68.0	220.00	13.13	137.08	12.18	149.26	100.0	0.0	6.4	51.21	168.79	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
fixed	GPT_gpt2	solo	-	GPT(GPT-2)	-	68.0	126.16	13.54	55.24	12.05	67.29	40.7	0.0	6.4	38.93	87.23	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
fixed	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	68.8	91.96	25.58	12.18	11.95	24.13	0.0	0.0	6.4	35.85	56.11	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
fixed	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	69.3	153.50	31.85	57.59	12.20	69.79	35.4	0.0	6.4	45.45	108.04	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	68.5	247.18	31.10	137.10	12.35	149.45	99.0	0.0	6.4	60.23	186.95	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	67.4	149.69	31.01	52.66	12.20	64.86	35.9	0.0	6.4	47.42	102.27	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	67.8	315.80	20.86	59.54	159.86	219.40	38.8	99.8	6.4	69.14	246.66	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, RN(ResNet18)→GPU1
fixed	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	67.8	223.07	20.96	59.83	76.56	136.39	36.4	38.3	6.4	59.33	163.75	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
fixed	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	69.2	319.42	19.45	139.72	82.90	222.62	100.0	38.4	6.4	70.95	248.47	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: RN(ResNet18)→GPU0, GPT(GPT-2)→GPU1
