round	experiment	type	concurrent_type	workload_A	workload_B	duration_s	wall_power_W	cpu_power_W	gpu0_power_W	gpu1_power_W	gpu_total_W	gpu0_util_pct	gpu1_util_pct	memory_power_W	others_W	component_sum_W	memory_power_note	others_note	gpu_note
fixed	baseline	idle	-	-	-	38.1	60.64	3.76	12.17	14.24	26.41	0.0	0.0	6.4	24.07	36.57	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	idle: GPU0+GPU1_idle
fixed	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	67.9	130.89	14.02	60.26	13.48	73.74	38.0	0.0	6.4	36.73	94.16	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
fixed	RN_resnet18	solo	-	RN(ResNet18)	-	68.0	223.47	13.09	138.89	13.03	151.92	100.0	0.0	6.4	52.06	171.41	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
fixed	GPT_gpt2	solo	-	GPT(GPT-2)	-	67.9	127.58	13.27	55.42	12.69	68.11	39.7	0.0	6.4	39.80	87.78	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
fixed	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	67.9	92.71	25.33	12.22	12.57	24.79	0.0	0.0	6.4	36.19	56.52	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
fixed	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	67.8	152.96	31.63	57.14	12.65	69.79	35.6	0.0	6.4	45.14	107.82	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	68.7	248.37	30.76	137.63	12.59	150.22	99.0	0.0	6.4	61.00	187.38	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	68.6	151.58	31.21	53.41	12.40	65.81	35.8	0.0	6.4	48.16	103.42	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	69.0	317.67	20.81	60.69	161.03	221.72	38.1	99.8	6.4	68.74	248.93	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, RN(ResNet18)→GPU1
fixed	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	69.2	232.80	21.00	60.58	84.23	144.81	38.4	38.7	6.4	60.59	172.21	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
fixed	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	67.9	322.84	19.85	140.13	84.59	224.72	100.0	38.5	6.4	71.87	250.97	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: RN(ResNet18)→GPU0, GPT(GPT-2)→GPU1
