run	round	experiment	type	concurrent_type	workload_A	workload_B	duration_s	wall_power_W	cpu_power_W	gpu0_power_W	gpu1_power_W	gpu_total_W	gpu0_util_pct	gpu1_util_pct	memory_power_W	others_W	component_sum_W	memory_power_note	others_note	gpu_note
run1	run1	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	67.9	240.71	20.74	69.14	85.67	154.81	36.1	37.9	6.4	58.76	181.95	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
run1	run1	PTRN_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	RN(ResNet18)	68.0	458.07	19.18	169.80	169.24	339.04	100.0	100.0	6.4	93.45	364.62	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: PT(PyTorch_GEMM)→GPU0, RN(ResNet18)→GPU1
run1	run1	PTGPT_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	GPT(GPT-2)	68.0	360.57	19.44	169.65	87.78	257.43	100.0	39.8	6.4	77.30	283.27	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: PT(PyTorch_GEMM)→GPU0, GPT(GPT-2)→GPU1
run1	run1	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	67.8	326.87	19.49	142.40	86.08	228.48	100.0	38.6	6.4	72.50	254.37	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: RN(ResNet18)→GPU0, GPT(GPT-2)→GPU1
run3	run3	baseline	idle	-	-	-	38.1	58.16	3.38	11.75	11.44	23.19	0.0	0.0	6.4	25.20	32.97	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	idle: GPU0+GPU1_idle
run3	run3	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	67.9	131.51	14.67	58.97	11.57	70.54	37.9	0.0	6.4	39.90	91.61	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
run3	run3	PT_pytorch_gemm	solo	-	PT(PyTorch_GEMM)	-	67.9	258.23	12.61	169.82	11.50	181.32	100.0	0.0	6.4	57.90	200.33	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: PT(PyTorch_GEMM)→GPU0, GPU1_idle
run3	run3	RN_resnet18	solo	-	RN(ResNet18)	-	68.0	224.46	13.24	140.43	11.62	152.05	100.0	0.0	6.4	52.78	171.69	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
run3	run3	GPT_gpt2	solo	-	GPT(GPT-2)	-	67.9	127.29	13.90	55.94	11.62	67.56	40.8	0.0	6.4	39.43	87.86	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
run3	run3	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	68.9	92.20	25.42	12.05	11.43	23.48	0.0	0.0	6.4	36.90	55.30	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
run3	run3	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	67.2	152.01	32.27	56.99	11.67	68.66	32.6	0.0	6.4	44.68	107.33	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run3	run3	PTB2_concurrent	concurrent	ai_b2	PT(PyTorch_GEMM)	B2(Node_Heavy)	67.4	285.44	31.10	169.80	11.50	181.30	99.1	0.0	6.4	66.64	218.80	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: PT(PyTorch_GEMM)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run3	run3	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	69.3	251.77	31.30	140.46	11.86	152.32	99.0	0.0	6.4	61.75	190.02	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run3	run3	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	66.9	150.31	31.36	53.73	11.58	65.31	36.7	0.0	6.4	47.24	103.07	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run3	run3	A2PT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	PT(PyTorch_GEMM)	67.8	328.69	20.84	60.69	169.80	230.49	38.2	100.0	6.4	70.96	257.73	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, PT(PyTorch_GEMM)→GPU1
run3	run3	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	68.0	329.14	20.69	60.91	169.29	230.20	37.3	99.7	6.4	71.85	257.29	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, RN(ResNet18)→GPU1
run3	run3	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	68.0	214.01	20.82	60.60	70.87	131.47	35.7	37.0	6.4	55.32	158.69	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
run3	run3	PTRN_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	RN(ResNet18)	68.0	458.13	19.44	169.79	168.90	338.69	100.0	100.0	6.4	93.60	364.53	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: PT(PyTorch_GEMM)→GPU0, RN(ResNet18)→GPU1
run3	run3	PTGPT_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	GPT(GPT-2)	68.0	360.90	19.72	169.81	86.95	256.76	100.0	39.5	6.4	78.02	282.88	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: PT(PyTorch_GEMM)→GPU0, GPT(GPT-2)→GPU1
run3	run3	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	69.2	328.21	20.21	142.43	85.90	228.33	100.0	38.9	6.4	73.26	254.94	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: RN(ResNet18)→GPU0, GPT(GPT-2)→GPU1
run4	run4	baseline	idle	-	-	-	38.1	57.62	3.97	11.60	11.92	23.52	0.0	0.0	6.4	23.73	33.89	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	idle: GPU0+GPU1_idle
run4	run4	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	67.9	130.15	14.67	58.92	12.06	70.98	38.8	0.0	6.4	38.09	92.05	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
run4	run4	RN_resnet18	solo	-	RN(ResNet18)	-	68.0	220.00	13.13	137.08	12.18	149.26	100.0	0.0	6.4	51.21	168.79	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
run4	run4	GPT_gpt2	solo	-	GPT(GPT-2)	-	68.0	126.16	13.54	55.24	12.05	67.29	40.7	0.0	6.4	38.93	87.23	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
run4	run4	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	68.8	91.96	25.58	12.18	11.95	24.13	0.0	0.0	6.4	35.85	56.11	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
run4	run4	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	69.3	153.50	31.85	57.59	12.20	69.79	35.4	0.0	6.4	45.45	108.04	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run4	run4	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	68.5	247.18	31.10	137.10	12.35	149.45	99.0	0.0	6.4	60.23	186.95	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run4	run4	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	67.4	149.69	31.01	52.66	12.20	64.86	35.9	0.0	6.4	47.42	102.27	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run4	run4	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	67.8	315.80	20.86	59.54	159.86	219.40	38.8	99.8	6.4	69.14	246.66	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, RN(ResNet18)→GPU1
run4	run4	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	67.8	223.07	20.96	59.83	76.56	136.39	36.4	38.3	6.4	59.33	163.75	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
run4	run4	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	69.2	319.42	19.45	139.72	82.90	222.62	100.0	38.4	6.4	70.95	248.47	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: RN(ResNet18)→GPU0, GPT(GPT-2)→GPU1
run5	run5	baseline	idle	-	-	-	38.1	61.15	3.50	12.16	14.32	26.48	0.0	0.0	6.4	24.77	36.38	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	idle: GPU0+GPU1_idle
run5	run5	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	67.9	132.75	14.09	60.56	13.33	73.89	37.0	0.0	6.4	38.37	94.38	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
run5	run5	RN_resnet18	solo	-	RN(ResNet18)	-	68.0	223.54	12.47	138.70	12.80	151.50	100.0	0.0	6.4	53.17	170.37	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
run5	run5	GPT_gpt2	solo	-	GPT(GPT-2)	-	67.9	127.07	13.16	54.96	12.71	67.67	39.1	0.0	6.4	39.84	87.23	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
run5	run5	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	69.4	92.83	25.32	12.09	12.41	24.50	0.0	0.0	6.4	36.62	56.22	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
run5	run5	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	68.6	157.03	31.49	57.32	12.50	69.82	34.9	0.0	6.4	49.32	107.71	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run5	run5	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	67.7	248.76	30.61	137.50	12.54	150.04	99.0	0.0	6.4	61.71	187.05	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run5	run5	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	68.9	151.38	30.52	53.27	12.34	65.61	36.8	0.0	6.4	48.85	102.53	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run5	run5	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	68.0	320.18	20.64	60.56	160.88	221.44	38.1	99.8	6.4	71.69	248.48	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, RN(ResNet18)→GPU1
run5	run5	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	68.0	217.41	20.76	60.27	75.30	135.57	36.9	39.0	6.4	54.68	162.73	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
run5	run5	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	68.0	312.92	19.32	140.05	77.49	217.54	100.0	38.4	6.4	69.65	243.26	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: RN(ResNet18)→GPU0, GPT(GPT-2)→GPU1
run6	run6	baseline	idle	-	-	-	38.1	60.64	3.76	12.17	14.24	26.41	0.0	0.0	6.4	24.07	36.57	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	idle: GPU0+GPU1_idle
run6	run6	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	67.9	130.89	14.02	60.26	13.48	73.74	38.0	0.0	6.4	36.73	94.16	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
run6	run6	RN_resnet18	solo	-	RN(ResNet18)	-	68.0	223.47	13.09	138.89	13.03	151.92	100.0	0.0	6.4	52.06	171.41	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
run6	run6	GPT_gpt2	solo	-	GPT(GPT-2)	-	67.9	127.58	13.27	55.42	12.69	68.11	39.7	0.0	6.4	39.80	87.78	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
run6	run6	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	67.9	92.71	25.33	12.22	12.57	24.79	0.0	0.0	6.4	36.19	56.52	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
run6	run6	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	67.8	152.96	31.63	57.14	12.65	69.79	35.6	0.0	6.4	45.14	107.82	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run6	run6	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	68.7	248.37	30.76	137.63	12.59	150.22	99.0	0.0	6.4	61.00	187.38	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run6	run6	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	68.6	151.58	31.21	53.41	12.40	65.81	35.8	0.0	6.4	48.16	103.42	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
run6	run6	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	69.0	317.67	20.81	60.69	161.03	221.72	38.1	99.8	6.4	68.74	248.93	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, RN(ResNet18)→GPU1
run6	run6	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	69.2	232.80	21.00	60.58	84.23	144.81	38.4	38.7	6.4	60.59	172.21	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
run6	run6	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	67.9	322.84	19.85	140.13	84.59	224.72	100.0	38.5	6.4	71.87	250.97	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: RN(ResNet18)→GPU0, GPT(GPT-2)→GPU1
