round	experiment	type	concurrent_type	workload	co_workload	cgroup	cpu_util_pct	gpu_util_pct	gpu_power_W	gpu0_util_pct	gpu0_power_W	gpu1_util_pct	gpu1_power_W	cpu_alloc_cores	gpu_alloc	gpu_alloc_cards	mem_alloc_GB	mem_used_MB	io_read_MB	io_write_MB	io_total_MB	duration_s
fixed	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	yolo.slice	101.1	37.9	58.97	37.9	58.97	0.0	11.57	2	GPU0	1	4.0	1779.3	0.0	0.0	0.0	67.9
fixed	PT_pytorch_gemm	solo	-	PT(PyTorch_GEMM)	-	yolo.slice	100.0	100.0	169.82	100.0	169.82	0.0	11.50	2	GPU0	1	4.0	788.9	0.0	0.0	0.0	67.9
fixed	RN_resnet18	solo	-	RN(ResNet18)	-	yolo.slice	100.0	100.0	140.43	100.0	140.43	0.0	11.62	2	GPU0	1	4.0	1280.5	0.0	0.0	0.0	68.0
fixed	GPT_gpt2	solo	-	GPT(GPT-2)	-	yolo.slice	100.0	40.8	55.94	40.8	55.94	0.0	11.62	2	GPU0	1	4.0	2205.6	0.0	0.0	0.0	67.9
fixed	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	nodejs.slice	0.0	0.0	11.43	0.0	12.05	0.0	11.43	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	68.9
fixed	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	100.8	32.6	56.99	32.6	56.99	0.0	11.67	2	GPU0	1	4.0	1771.1	0.0	0.0	0.0	67.2
fixed	A2B2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	0.0	0.0	11.67	32.6	56.99	0.0	11.67	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	67.2
fixed	PTB2_concurrent	concurrent	ai_b2	PT(PyTorch_GEMM)	B2(Node_Heavy)	yolo.slice	100.0	99.1	169.80	99.1	169.80	0.0	11.50	2	GPU0	1	4.0	788.6	0.0	0.0	0.0	67.4
fixed	PTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	PT(PyTorch_GEMM)	nodejs.slice	0.0	0.0	11.50	99.1	169.80	0.0	11.50	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	67.4
fixed	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.0	140.46	99.0	140.46	0.0	11.86	2	GPU0	1	4.0	1279.4	0.0	0.0	0.0	69.3
fixed	RNB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	0.0	0.0	11.86	99.0	140.46	0.0	11.86	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	69.3
fixed	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	36.7	53.73	36.7	53.73	0.0	11.58	2	GPU0	1	4.0	2195.1	0.0	0.0	0.0	66.9
