timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu_temp_c,gpu_util_pct,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-10T12:10:11.633,3.6,0.0,4.73,1.03,0.00,11.46,27,7,0.0,0.0,12.0,4338,2555,3905,1349,1312,913,1742,1881,900,1677,900,1338,1563,880,900,1253
2026-02-10T12:10:12.861,3.4,0.2,5.11,1.20,0.00,11.47,27,10,0.0,132.5,12.0,4793,1359,903,892,1690,898,4141,900,900,900,900,888,894,900,900,900
2026-02-10T12:10:14.205,3.8,0.0,4.90,1.21,0.00,11.41,27,7,0.0,0.0,12.0,4900,1569,900,900,900,900,4090,900,900,901,900,900,900,900,900,894
2026-02-10T12:10:15.565,3.2,0.0,4.97,1.12,0.00,11.50,27,7,0.0,8.8,12.0,4487,1097,900,3494,900,900,900,899,900,900,900,900,900,900,900,899
2026-02-10T12:10:16.925,3.6,0.0,4.69,1.04,0.00,11.37,27,17,0.0,0.0,12.0,4439,1367,902,900,899,1243,1761,3296,4604,1639,1414,3805,1160,1017,1408,1492
2026-02-10T12:10:18.281,8.0,0.1,7.53,2.81,0.00,11.90,27,19,0.0,136.3,12.2,3032,2728,2097,1124,1095,1696,2078,1632,897,1029,1388,900,1360,1204,1237,2664
2026-02-10T12:10:19.581,7.5,0.0,7.51,2.06,0.00,12.02,27,25,0.0,0.0,12.2,1690,1169,2980,1181,900,940,906,1163,1253,900,900,1416,900,1970,1152,895
2026-02-10T12:10:20.893,4.9,0.0,7.79,1.21,0.00,11.90,27,11,0.0,0.0,12.0,3850,1445,898,900,900,943,4102,901,1087,900,900,900,901,899,900,900
2026-02-10T12:10:22.261,3.2,0.0,5.10,1.20,0.00,11.51,27,5,0.0,0.0,12.0,3092,4077,1013,898,900,900,896,900,900,900,900,900,901,898,901,900
2026-02-10T12:10:23.625,2.4,0.0,4.81,0.97,0.00,11.70,27,5,0.0,17.3,12.0,2927,4215,1159,900,1525,900,897,900,901,898,900,1209,900,900,900,899
2026-02-10T12:10:24.969,3.3,0.0,4.81,1.04,0.00,11.65,27,7,0.0,0.0,12.0,3937,1190,1155,897,1514,900,3596,900,900,899,900,900,900,900,900,900
2026-02-10T12:10:26.313,2.8,0.0,4.88,1.23,0.00,11.51,27,5,0.0,0.0,12.0,3502,1344,900,900,900,900,899,900,901,900,900,900,900,897,4178,895
2026-02-10T12:10:27.689,2.6,0.0,4.78,1.07,0.00,11.49,27,5,0.0,122.6,12.0,4851,1647,900,892,900,900,900,900,900,900,900,1160,1231,900,4106,900
2026-02-10T12:10:29.009,3.2,0.0,5.18,1.30,0.00,11.65,27,5,0.0,35.8,12.0,4804,3961,1479,1663,900,1741,900,900,900,900,900,1170,901,1308,1333,900
