timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-16T02:36:19.131,0.0,0.0,3.17,0.60,0.00,6.79,6.79,25,0,256,0.0,0.0,5.4,3600,1426,1983,908,1607,900,901,900,1271,900,901,901,901,901,901,900
2026-02-16T02:36:20.477,0.2,0.0,2.51,0.27,0.00,6.89,6.89,25,0,256,0.0,0.0,5.4,3605,1508,2970,950,1252,900,1567,900,1361,900,901,901,901,901,900,901
2026-02-16T02:36:21.833,0.1,0.0,2.61,0.33,0.00,6.82,6.82,25,0,256,0.0,0.0,5.4,3600,1384,901,1349,901,901,900,900,1322,901,3189,901,901,901,901,900
2026-02-16T02:36:23.189,0.1,0.0,2.78,0.29,0.00,7.26,7.26,25,0,256,0.0,0.0,5.4,2456,1224,1200,1007,901,901,1233,900,900,3140,901,900,901,901,901,901
2026-02-16T02:36:24.549,0.2,0.0,2.57,0.30,0.00,6.95,6.95,25,0,256,0.0,41.2,5.4,2106,2926,1138,1557,1522,901,1589,900,900,1135,900,901,901,901,901,901
2026-02-16T02:36:25.909,0.2,0.0,2.59,0.31,0.00,6.77,6.77,24,0,256,0.0,0.0,5.4,2853,2916,2302,1687,901,901,901,900,900,900,901,900,901,901,900,901
2026-02-16T02:36:27.269,0.2,0.0,2.56,0.32,0.00,6.76,6.76,25,0,256,0.0,0.0,5.4,2674,1305,974,901,901,901,901,900,900,2782,901,901,901,901,901,900
2026-02-16T02:36:28.625,0.1,0.0,2.51,0.27,0.00,6.88,6.88,25,0,256,0.0,0.0,5.4,1731,2496,1109,1524,1034,901,900,900,900,1020,901,900,900,901,901,901
2026-02-16T02:36:29.985,0.2,0.0,2.56,0.30,0.00,7.28,7.28,25,0,256,0.0,0.0,5.4,2226,2459,1401,1643,900,900,1621,900,900,901,901,900,901,901,901,900
2026-02-16T02:36:31.345,0.2,0.0,2.62,0.32,0.00,6.98,6.98,25,0,256,0.0,11.8,5.4,2595,1527,901,1481,901,901,901,900,900,2998,901,901,900,900,901,901
2026-02-16T02:36:32.701,0.1,0.0,2.54,0.32,0.00,6.93,6.93,25,0,256,0.0,0.0,5.4,3407,3037,1619,1559,901,901,900,900,900,901,900,900,901,901,900,901
2026-02-16T02:36:34.057,0.1,0.0,2.56,0.32,0.00,6.72,6.72,25,0,256,0.0,0.0,5.4,2477,2443,1244,1567,1141,901,1502,900,901,900,901,900,901,901,901,901
2026-02-16T02:36:35.413,0.1,0.0,2.69,0.35,0.00,6.80,6.80,25,0,256,0.0,0.0,5.4,3605,1185,901,1395,901,901,901,900,901,900,2466,901,900,901,900,901
