timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-16T01:29:45.198,0.0,0.0,3.54,0.48,0.00,6.78,6.78,25,0,406,0.0,0.0,9.9,3600,1972,2343,3600,1547,1554,1595,1665,901,901,901,900,901,901,901,901
2026-02-16T01:29:46.524,0.2,0.0,3.16,0.31,0.00,6.88,6.88,25,0,406,0.0,0.0,9.9,3600,1334,3237,900,1556,900,901,1621,900,901,901,901,901,897,900,901
2026-02-16T01:29:47.880,0.1,0.0,3.36,0.30,0.00,7.21,7.21,25,0,406,0.0,0.0,9.9,3600,1168,951,901,1591,901,901,901,900,901,2955,900,901,900,901,901
2026-02-16T01:29:49.236,0.2,0.0,2.83,0.29,0.00,6.98,6.98,25,0,406,0.0,0.0,9.9,3605,1192,901,900,1588,901,901,900,901,901,3142,901,900,900,900,901
2026-02-16T01:29:50.596,0.1,0.0,2.75,0.35,0.00,6.94,6.94,25,0,406,0.0,44.1,9.9,3600,1702,3163,900,915,901,901,1630,901,900,901,900,901,900,901,901
2026-02-16T01:29:51.957,0.2,0.1,2.79,0.32,0.00,6.98,6.98,25,0,406,0.0,138.2,9.9,2583,3027,1702,901,1598,900,901,1555,900,900,901,901,901,900,900,900
2026-02-16T01:29:53.316,0.2,0.0,2.79,0.34,0.00,6.86,6.86,25,0,406,0.0,0.0,9.9,2562,2980,1205,901,1524,1211,901,900,901,900,900,901,901,900,901,900
2026-02-16T01:29:54.676,0.1,0.0,2.71,0.30,0.00,7.16,7.16,25,0,406,0.0,0.0,9.9,3600,1309,900,901,901,901,901,1548,1518,901,900,2943,900,901,901,901
2026-02-16T01:29:56.032,0.1,0.0,2.50,0.24,0.00,7.65,7.65,25,0,406,0.0,2.9,9.9,3606,1941,901,901,900,901,901,901,901,901,900,3101,901,900,901,901
2026-02-16T01:29:57.392,0.2,0.0,2.58,0.25,0.00,6.96,6.96,25,0,406,0.0,0.0,9.9,3600,1738,901,900,1344,901,901,901,1312,901,900,3256,901,900,901,901
2026-02-16T01:29:58.748,0.2,0.0,2.68,0.29,0.00,6.91,6.91,25,0,406,0.0,8.8,9.9,3600,1691,901,901,1715,900,901,1728,901,900,900,3216,901,900,900,901
2026-02-16T01:30:00.108,0.2,0.0,2.54,0.28,0.00,7.02,7.02,25,0,406,0.0,0.0,9.9,3595,3600,900,900,901,901,901,1670,1624,901,900,3236,901,901,900,901
2026-02-16T01:30:01.468,0.2,0.0,2.44,0.21,0.00,7.29,7.29,25,0,406,0.0,2.9,9.9,3600,1445,900,2874,1122,901,900,901,901,901,901,901,901,900,901,901
2026-02-16T01:30:02.829,0.2,0.0,2.37,0.19,0.00,7.18,7.18,25,0,406,0.0,0.0,9.9,3595,1088,1614,901,901,901,2797,1639,967,901,900,901,901,900,901,901
