timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-16T02:30:47.602,0.0,0.0,2.87,0.38,0.00,6.78,6.78,25,0,256,0.0,0.0,5.4,2911,2655,2665,2403,942,900,901,1540,900,901,901,901,901,900,901,901
2026-02-16T02:30:48.937,0.2,0.0,2.43,0.23,0.00,6.89,6.89,25,0,256,0.0,0.0,5.4,3600,3015,1914,1901,901,900,901,900,900,901,901,900,901,900,901,901
2026-02-16T02:30:50.297,0.2,0.0,2.81,0.25,0.00,6.83,6.83,25,0,256,0.0,0.0,5.4,2882,2862,1348,1567,901,900,901,900,901,928,901,900,901,901,900,900
2026-02-16T02:30:51.657,0.1,0.0,2.42,0.26,0.00,6.91,6.91,25,0,256,0.0,0.0,5.4,3021,3456,1141,1535,900,900,901,900,900,901,901,901,901,901,901,901
2026-02-16T02:30:53.013,0.2,0.0,2.40,0.25,0.00,7.07,7.07,25,0,256,0.0,35.4,5.4,2970,3600,1731,1043,900,1622,901,900,901,1761,901,900,901,900,900,900
2026-02-16T02:30:54.373,0.1,0.0,2.33,0.24,0.00,6.87,6.87,25,0,256,0.0,0.0,5.4,2974,3595,1676,1016,901,1005,1001,900,901,1704,901,900,900,901,901,901
2026-02-16T02:30:55.733,0.2,0.0,2.31,0.21,0.00,6.86,6.86,25,0,256,0.0,0.0,5.4,2400,2912,2086,900,900,901,900,900,901,1440,901,900,900,901,901,901
2026-02-16T02:30:57.093,0.2,0.0,2.30,0.19,0.00,6.76,6.76,25,0,256,0.0,0.0,5.4,2966,3381,1503,1654,901,900,901,900,901,1209,900,901,901,901,901,901
2026-02-16T02:30:58.453,0.2,0.0,2.33,0.19,0.00,6.77,6.77,25,0,256,0.0,8.8,5.4,2869,2409,1310,920,901,900,901,901,901,901,921,900,900,900,901,901
2026-02-16T02:30:59.809,0.1,0.0,2.45,0.21,0.00,6.99,6.99,25,0,256,0.0,2.9,5.4,3600,1603,901,1487,901,900,900,916,1515,900,900,900,901,901,2378,901
2026-02-16T02:31:01.165,0.2,0.0,2.41,0.20,0.00,7.24,7.24,25,0,256,0.0,0.0,5.4,3600,2800,901,1640,900,900,3381,1610,901,901,901,901,901,901,901,901
2026-02-16T02:31:02.521,0.1,0.0,2.51,0.24,0.00,6.95,6.95,25,0,256,0.0,0.0,5.4,3600,1766,1238,1529,900,900,3175,1626,1550,1113,901,901,901,901,901,900
2026-02-16T02:31:03.881,0.1,0.0,2.63,0.25,0.00,6.92,6.92,25,0,256,0.0,14.7,5.4,3240,1529,900,900,1591,901,900,901,1206,901,901,900,901,901,901,3017
2026-02-16T02:31:05.242,0.2,0.0,2.81,0.26,0.00,6.71,6.71,25,0,256,0.0,70.7,5.4,2285,1714,2169,901,901,900,900,3262,901,901,901,900,901,901,901,900
2026-02-16T02:31:06.597,0.1,0.0,2.76,0.28,0.00,6.87,6.87,25,0,256,0.0,0.0,5.4,3311,1840,901,900,1373,900,900,3047,913,900,901,900,901,901,901,900
2026-02-16T02:31:07.953,0.1,0.0,2.63,0.25,0.00,7.10,7.10,25,0,256,0.0,0.0,5.4,2841,1289,900,901,900,901,900,900,900,901,901,900,900,901,901,2585
2026-02-16T02:31:09.314,0.2,0.0,2.69,0.24,0.00,6.75,6.75,25,0,256,0.0,20.6,5.4,2733,1134,1256,901,901,901,900,3160,1114,900,901,900,901,901,901,901
2026-02-16T02:31:10.673,0.2,0.0,2.87,0.29,0.00,6.73,6.73,25,0,256,0.0,38.2,5.4,3112,1280,901,900,1236,900,900,2545,901,901,901,900,901,901,901,901
