timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu_temp_c,gpu_util_pct,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-10T12:33:11.070,1.3,0.0,4.86,1.33,0.00,11.10,27,5,0.0,0.0,12.0,2633,938,900,900,896,900,900,897,900,900,900,900,900,1132,3853,900
2026-02-10T12:33:12.417,2.5,0.0,4.39,0.98,0.00,11.39,27,5,0.0,0.0,12.0,4335,1809,1019,900,891,900,899,900,1149,900,3100,900,900,900,900,900
2026-02-10T12:33:13.741,3.6,0.0,4.73,1.22,0.00,11.44,27,8,0.0,0.0,12.2,4523,1427,1457,948,1470,1110,1273,916,1575,1395,904,3759,1549,2537,1098,2728
2026-02-10T12:33:15.037,7.5,0.0,6.41,2.50,0.00,11.76,27,18,0.0,0.0,12.2,2729,1145,903,1032,1233,924,962,919,2239,1043,919,3747,901,913,1590,954
2026-02-10T12:33:16.405,7.3,0.1,6.25,1.45,0.00,11.95,27,24,0.0,92.8,12.1,4357,1593,2089,900,895,900,900,900,900,1430,894,900,900,898,991,2381
2026-02-10T12:33:17.721,4.4,0.0,6.21,1.03,0.00,11.67,27,8,0.0,0.0,12.0,1991,4571,1553,896,900,900,2395,900,900,900,914,900,900,900,891,900
2026-02-10T12:33:19.101,2.8,0.0,4.32,0.96,0.00,11.45,27,5,0.0,0.0,12.0,4079,2105,1659,900,900,900,3272,895,900,900,900,900,900,900,900,897
2026-02-10T12:33:20.469,2.8,0.1,4.49,0.97,0.00,11.43,27,9,0.0,128.9,12.0,1429,3624,1800,900,1791,901,899,885,900,900,994,900,900,1094,2286,897
2026-02-10T12:33:21.809,3.8,0.0,4.36,0.90,0.00,11.48,27,7,0.0,0.0,12.0,3936,960,3714,900,1441,1453,897,1520,899,900,900,900,880,901,893,886
2026-02-10T12:33:23.137,3.0,0.0,4.20,0.93,0.00,11.61,27,5,0.0,0.0,12.0,4527,3472,1366,900,898,899,892,900,900,901,900,900,900,900,900,900
2026-02-10T12:33:24.497,2.6,0.0,4.36,1.02,0.00,11.68,27,11,0.0,0.0,12.0,3716,1250,907,897,900,897,899,899,900,900,1283,3075,900,898,898,895
2026-02-10T12:33:25.865,3.7,0.1,4.67,0.91,0.00,11.52,27,5,0.0,136.7,12.0,3644,1690,900,897,4388,900,898,898,900,900,900,900,900,900,900,900
2026-02-10T12:33:27.225,2.6,0.0,5.52,1.03,0.00,11.44,27,5,0.0,0.0,12.0,3913,4733,1713,900,896,900,897,900,900,901,900,900,900,896,900,894
