timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu_temp_c,gpu_util_pct,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-10T12:22:51.261,2.8,0.0,4.46,1.10,0.00,11.21,27,5,0.0,0.0,11.9,2107,1346,2402,1089,900,900,900,900,1134,900,900,1126,900,898,900,1173
2026-02-10T12:22:52.613,2.9,0.0,4.33,0.95,0.00,11.14,27,7,0.0,0.0,11.9,4587,1676,900,896,901,900,900,900,900,900,2548,900,900,900,900,898
2026-02-10T12:22:53.985,6.2,0.0,6.85,2.43,0.00,11.65,27,21,0.0,146.9,12.1,3051,1229,919,1511,901,928,1333,1266,1639,1087,900,3064,1011,907,1306,1441
2026-02-10T12:22:55.261,7.6,0.0,8.11,1.56,0.00,11.71,27,22,0.0,0.0,12.2,2826,3484,1556,916,1263,1407,924,1795,982,900,2911,900,1122,990,1179,900
2026-02-10T12:22:56.593,6.9,0.0,6.11,1.41,0.00,11.93,27,17,0.0,0.0,11.9,2651,3573,931,892,900,900,897,900,900,900,900,895,900,900,2524,895
2026-02-10T12:22:57.953,4.1,0.0,4.40,0.91,0.00,11.41,27,5,0.0,0.0,11.9,4261,1329,900,896,900,900,900,901,900,901,900,899,900,900,898,3815
2026-02-10T12:22:59.317,3.0,0.1,4.70,1.08,0.00,11.30,27,5,0.0,138.7,11.9,4201,1594,900,900,901,899,1313,3748,900,900,900,894,900,900,900,900
2026-02-10T12:23:00.685,3.6,0.0,4.60,1.09,0.00,11.49,27,7,0.0,0.0,11.9,4251,1211,900,881,900,1278,900,900,1508,900,900,896,900,900,3943,898
2026-02-10T12:23:02.033,3.3,0.0,4.66,1.13,0.00,11.42,27,7,0.0,0.0,11.9,4435,1405,908,900,900,900,898,900,900,1229,900,898,3877,1526,892,900
2026-02-10T12:23:03.353,2.6,0.0,4.57,1.15,0.00,11.39,27,5,0.0,0.0,11.9,3323,3330,1327,900,900,900,898,900,900,901,4042,894,900,901,901,900
2026-02-10T12:23:04.705,2.9,0.1,5.03,1.02,0.00,11.55,27,13,0.0,128.8,11.9,3386,1602,913,899,900,1603,898,900,900,900,900,900,901,898,900,3707
2026-02-10T12:23:06.073,3.1,0.0,6.32,1.11,0.00,11.38,27,5,0.0,0.0,11.9,1877,990,895,900,900,900,900,900,900,900,4146,886,900,901,898,900
2026-02-10T12:23:07.441,2.5,0.0,4.44,1.03,0.00,11.35,27,7,0.0,0.0,11.9,2379,1056,898,900,900,1325,899,3266,900,901,891,900,900,901,900,900
2026-02-10T12:23:08.805,4.3,0.0,6.38,2.60,0.00,11.70,27,24,0.0,68.6,12.1,1370,4900,1369,1414,1156,1715,1710,899,1296,1101,2698,1133,1152,900,1177,1690
2026-02-10T12:23:10.061,7.3,0.0,5.69,1.63,0.00,11.97,27,21,0.0,0.0,12.2,1610,1040,903,929,890,1383,2513,1181,907,1130,1182,912,1374,1399,898,1370
2026-02-10T12:23:11.417,6.6,0.0,5.40,1.39,0.00,11.73,27,23,0.0,0.0,12.0,1064,1797,1008,895,898,900,1138,1288,1053,930,900,900,900,1452,900,2083
2026-02-10T12:23:12.757,4.3,0.0,5.14,1.26,0.00,11.87,27,10,0.0,6.2,11.9,4566,1866,940,896,1654,901,899,900,899,4307,900,900,901,900,901,900
2026-02-10T12:23:14.101,2.9,0.1,5.06,1.10,0.00,11.37,27,7,0.0,160.3,11.9,3857,1625,900,900,900,900,898,900,900,900,900,900,901,900,887,3835
2026-02-10T12:23:15.469,3.1,0.0,4.55,1.06,0.00,11.61,27,7,0.0,0.0,11.9,1409,3422,1340,914,900,899,900,897,900,896,901,893,900,900,896,893
2026-02-10T12:23:16.812,4.0,0.0,5.65,1.01,0.00,11.65,27,5,0.0,0.0,11.9,2038,4024,924,896,2901,900,895,900,900,900,900,900,901,900,900,3205
2026-02-10T12:23:18.141,3.1,0.0,6.72,0.98,0.00,11.38,27,5,0.0,0.0,11.9,1695,910,900,900,900,3819,893,900,900,900,900,900,900,900,900,900
2026-02-10T12:23:19.505,3.4,0.1,5.03,0.88,0.00,11.37,27,10,0.0,202.5,11.9,3285,1315,899,900,900,900,900,901,900,900,1179,890,901,1103,3569,900
2026-02-10T12:23:20.857,3.6,0.0,4.82,1.06,0.00,11.55,27,5,0.0,14.8,11.9,4703,1591,3817,898,900,900,900,900,898,897,901,900,900,900,1291,900
2026-02-10T12:23:22.221,3.1,0.0,4.38,1.01,0.00,11.55,27,7,0.0,0.0,12.0,4486,959,900,900,886,900,900,900,900,900,901,900,4311,900,900,898
2026-02-10T12:23:23.581,2.9,0.0,4.78,1.24,0.00,11.45,27,9,0.0,0.0,12.0,4101,2122,4221,896,900,901,900,900,899,4121,3763,1228,2144,1003,1716,1165
2026-02-10T12:23:24.949,7.1,0.1,7.43,2.87,0.00,11.62,27,24,0.0,213.1,12.2,3654,2132,1337,3695,900,967,900,1390,902,1133,900,1517,910,1211,902,1418
2026-02-10T12:23:26.277,7.4,0.0,5.69,1.68,0.00,11.65,27,20,0.0,0.0,12.2,2315,996,900,2762,898,896,900,900,900,900,900,900,894,900,900,899
2026-02-10T12:23:27.665,4.7,0.0,5.37,1.14,0.00,11.58,27,8,0.0,0.0,12.0,1436,3893,4645,1744,893,1759,1472,900,900,900,1406,900,901,900,900,900
2026-02-10T12:23:28.993,2.6,0.0,5.84,1.11,0.00,11.20,27,5,0.0,0.0,11.9,3930,3184,1627,900,896,900,900,900,900,900,900,900,900,900,900,900
2026-02-10T12:23:30.361,2.7,0.0,4.88,1.05,0.00,11.32,27,7,0.0,117.3,11.9,2997,1208,900,896,882,900,900,900,900,900,901,3484,900,900,900,894
2026-02-10T12:23:31.729,3.2,0.0,4.90,1.14,0.00,11.48,27,5,0.0,20.4,12.0,4735,1101,1549,899,897,900,900,900,900,4154,900,900,900,900,900,900
