timestamp,cgroup,cpu_percent,memory_mb,io_read_kbs,io_write_kbs,num_procs,sys_io_read_kbs,sys_io_write_kbs
2026-02-22T01:59:15.959,yolo.slice,0.0,0.4,0.0,0.0,0,97849.8,0.0
2026-02-22T01:59:15.959,nodejs.slice,0.0,0.2,0.0,0.0,0,97849.8,0.0
2026-02-22T01:59:16.961,yolo.slice,0.0,0.4,0.0,0.0,0,283.5,0.0
2026-02-22T01:59:16.961,nodejs.slice,0.0,0.2,0.0,0.0,0,283.5,0.0
2026-02-22T01:59:17.963,yolo.slice,6.7,92.6,0.0,0.0,0,49398.7,59.9
2026-02-22T01:59:17.963,nodejs.slice,0.0,0.2,0.0,0.0,0,49398.7,59.9
2026-02-22T01:59:18.963,yolo.slice,168.2,603.2,0.0,0.0,0,333862.9,0.0
2026-02-22T01:59:18.963,nodejs.slice,0.0,0.2,0.0,0.0,0,333862.9,0.0
2026-02-22T01:59:19.965,yolo.slice,81.2,721.5,0.0,0.0,0,41408.7,0.0
2026-02-22T01:59:19.965,nodejs.slice,0.0,0.2,0.0,0.0,0,41408.7,0.0
2026-02-22T01:59:20.967,yolo.slice,93.3,952.3,0.0,0.0,0,141441.6,0.0
2026-02-22T01:59:20.967,nodejs.slice,0.0,0.2,0.0,0.0,0,141441.6,0.0
2026-02-22T01:59:21.968,yolo.slice,89.3,1280.4,0.0,0.0,0,99126.5,0.0
2026-02-22T01:59:21.968,nodejs.slice,0.0,0.2,0.0,0.0,0,99126.5,0.0
2026-02-22T01:59:22.970,yolo.slice,99.9,1280.2,0.0,0.0,0,0.0,0.0
2026-02-22T01:59:22.970,nodejs.slice,0.0,0.2,0.0,0.0,0,0.0,0.0
2026-02-22T01:59:23.979,yolo.slice,100.3,1280.2,0.0,0.0,0,4.0,99.1
2026-02-22T01:59:23.979,nodejs.slice,0.0,0.2,0.0,0.0,0,4.0,99.1
2026-02-22T01:59:24.981,yolo.slice,99.9,1280.1,0.0,0.0,0,0.0,0.0
