timestamp,node_id,power1_w,power2_w,power3_w,current1_a,current2_a,current3_a,current4_a,voltage_v,pf1,pf2
2026-02-16T00:18:47.197,11,50.85,0.00,0.00,0.334,0.002,0.002,0.002,243.58,0.23,0.25
2026-02-16T00:18:50.400,11,55.86,0.00,0.00,0.358,0.002,0.002,0.002,243.54,0.23,0.26
2026-02-16T00:18:53.604,11,45.41,0.00,0.00,0.315,0.002,0.002,0.002,244.02,0.23,0.25
2026-02-16T00:18:56.808,11,45.28,0.00,0.00,0.314,0.002,0.002,0.002,244.03,0.23,0.25
2026-02-16T00:19:00.012,11,45.92,0.00,0.00,0.316,0.001,0.002,0.002,243.80,0.23,0.25
2026-02-16T00:19:03.216,11,46.15,0.00,0.00,0.315,0.002,0.002,0.002,244.17,0.23,0.25
2026-02-16T00:19:06.420,11,46.20,0.00,0.00,0.316,0.002,0.002,0.002,244.06,0.22,0.26
2026-02-16T00:19:09.623,11,45.74,0.00,0.00,0.313,0.002,0.002,0.002,243.98,0.23,0.26
2026-02-16T00:19:12.827,11,45.70,0.00,0.00,0.315,0.002,0.002,0.002,244.02,0.24,0.25
2026-02-16T00:19:16.031,11,46.83,0.00,0.00,0.317,0.002,0.002,0.002,244.01,0.24,0.25
2026-02-16T00:19:19.235,11,42.63,0.00,0.00,0.303,0.002,0.002,0.002,244.12,0.23,0.27
2026-02-16T00:19:22.439,11,43.59,0.00,0.00,0.307,0.002,0.002,0.002,243.68,0.23,0.25
2026-02-16T00:19:25.643,11,47.63,0.00,0.00,0.321,0.002,0.002,0.002,243.57,0.22,0.27
2026-02-16T00:19:28.846,11,48.41,0.00,0.00,0.324,0.002,0.002,0.002,243.47,0.23,0.25
2026-02-16T00:19:32.050,11,45.74,0.00,0.00,0.314,0.002,0.002,0.002,243.67,0.23,0.24
2026-02-16T00:19:35.255,11,45.73,0.00,0.00,0.315,0.002,0.002,0.002,244.00,0.23,0.26
2026-02-16T00:19:38.459,11,47.60,0.00,0.00,0.322,0.002,0.002,0.002,243.61,0.24,0.24
2026-02-16T00:19:41.662,11,46.89,0.00,0.00,0.320,0.002,0.002,0.002,243.91,0.24,0.25
2026-02-16T00:19:44.866,11,46.31,0.00,0.00,0.316,0.002,0.002,0.002,243.63,0.23,0.24
2026-02-16T00:19:48.070,11,46.33,0.00,0.00,0.315,0.002,0.002,0.002,244.15,0.22,0.25
2026-02-16T00:19:51.274,11,47.76,0.00,0.00,0.323,0.002,0.002,0.002,243.94,0.22,0.25
2026-02-16T00:19:54.477,11,45.19,0.00,0.00,0.313,0.002,0.002,0.002,244.16,0.23,0.25
2026-02-16T00:19:57.681,11,42.55,0.00,0.00,0.303,0.002,0.002,0.002,243.99,0.23,0.26
2026-02-16T00:20:00.885,11,47.75,0.00,0.00,0.322,0.002,0.002,0.002,244.08,0.24,0.25
2026-02-16T00:20:04.089,11,42.47,0.00,0.00,0.302,0.002,0.002,0.002,244.15,0.24,0.24
2026-02-16T00:20:07.293,11,43.68,0.00,0.00,0.308,0.002,0.002,0.002,244.11,0.24,0.26
2026-02-16T00:20:10.497,11,45.66,0.00,0.00,0.316,0.002,0.002,0.002,244.14,0.24,0.24
2026-02-16T00:20:13.700,11,45.33,0.00,0.00,0.313,0.002,0.002,0.002,243.88,0.24,0.26
2026-02-16T00:20:16.905,11,43.79,0.00,0.00,0.307,0.002,0.002,0.002,244.45,0.24,0.25
2026-02-16T00:20:20.108,11,48.43,0.00,0.00,0.325,0.002,0.002,0.002,243.97,0.24,0.25
2026-02-16T00:20:23.313,11,43.24,0.00,0.00,0.306,0.002,0.002,0.002,244.11,0.23,0.26
2026-02-16T00:20:26.516,11,45.19,0.00,0.00,0.313,0.002,0.002,0.002,244.21,0.23,0.24
2026-02-16T00:20:29.720,11,45.06,0.00,0.00,0.316,0.002,0.002,0.002,244.33,0.23,0.26
